"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","neo","pha","diameter","sats"
"  6100 Kunitomoikkansai (1991 VK4)",2.33,0.1350,3.40,303.81,69.36,2.016,2.64,3.56,26952,0,3744,,,13.66,N,N,4.057,1
"  6177 Fecamp (1986 CE2)",2.203,0.0762,5.68,1.05,139.80,2.035,2.37,3.27,26926,0,7781,,,13.79,N,N,4.795,1
"  6186 Zenon (1988 CC2)",2.379,0.1841,4.21,315.25,87.20,1.941,2.82,3.67,21193,0,3224,,,13.94,N,N,,2
"  6244 Okamoto (1990 QF)",2.159,0.1523,5.39,331.27,51.60,1.830,2.49,3.17,32996,0,4561,,,13.79,N,N,,1
"  6245 Ikufumi (1990 SO4)",2.302,0.1782,8.01,299.71,52.34,1.892,2.71,3.49,25452,0,3722,,,13.38,N,N,8.105,1
"  6265 (1985 TW3)",2.166,0.1926,4.11,45.14,281.69,1.749,2.58,3.19,19832,0,5873,,,13.73,N,N,4.954,1
"  6369 (1983 UC)",2.294,0.1430,5.99,35.47,351.69,1.966,2.62,3.47,25292,0,4957,,,14.57,N,N,,1
"  6384 Kervin (1989 AM)",1.937,0.0771,26.29,76.82,265.82,1.787,2.09,2.7,12811,0,7176,,,14.00,N,N,3.739,1
"  6615 Plutarchos (9512 P-L)",2.17,0.1272,1.80,129.36,81.02,1.894,2.45,3.2,22947,0,3361,,,14.79,N,N,3.139,1
"  6708 Bobbievaile (1989 AA5)",2.445,0.1810,12.07,115.79,193.37,2.003,2.89,3.82,16237,0,5099,,,13.29,N,N,8.074,1
"  6764 Kirillavrov (1981 TM3)",2.258,0.1401,7.05,18.10,242.52,1.942,2.57,3.39,19104,0,7690,,,13.45,N,N,5.287,1
"  7002 Bronshten (1971 OV)",2.356,0.3327,4.58,193.19,144.07,1.572,3.14,3.62,19171,0,2447,,,14.91,N,N,,1
"  7088 Ishtar (1992 AA)",1.981,0.3900,8.30,102.61,354.77,1.209,2.75,2.79,15468,0,1423,,,16.84,Y,N,1.298,1
"  7132 Casulli (1993 SE)",2.308,0.2114,5.49,321.11,245.68,1.820,2.80,3.51,25113,0,5312,,,13.93,N,N,9.015,1
"  7187 Isobe (1992 BW)",1.938,0.0864,21.79,315.29,86.39,1.770,2.11,2.7,14043,0,4724,,,14.08,N,N,5.421,1
"  7225 Huntress (1983 BH)",2.341,0.2037,6.86,275.65,204.24,1.864,2.82,3.58,22987,0,4640,,,13.29,N,N,6.680,1
"  7307 Takei (1994 GT9)",2.743,0.0854,6.99,42.97,119.75,2.508,2.98,4.54,16527,0,6306,,,12.67,N,N,,1
"  7335 (1989 JA)",1.772,0.4846,15.17,61.28,232.29,0.913,2.63,2.36,12735,0,2603,4,5,17.70,Y,Y,1.8,1
"  7344 Summerfield (1992 LU)",2.59,0.1115,14.30,174.97,18.82,2.301,2.88,4.17,14011,0,3972,,,13.14,N,N,6.251,1
"  7369 Gavrilin (1975 AN)",2.371,0.3193,21.80,278.21,113.19,1.614,3.13,3.65,17696,0,3186,,,13.34,N,N,4.911,1
"  7393 Luginbuhl (1984 SL3)",2.241,0.1995,6.73,23.48,331.98,1.794,2.69,3.36,14748,0,8896,,,13.54,N,N,5.473,1
"  7615 (1996 TA11)",2.407,0.2112,3.56,106.09,235.09,1.899,2.92,3.73,15465,0,3560,,,14.07,N,N,3.910,1
"  7792 (1995 WZ3)",2.298,0.1485,7.20,61.38,143.66,1.956,2.64,3.48,17413,0,4042,,,13.11,N,N,7.447,1
"  7888 (1993 UC)",2.437,0.6631,26.08,165.90,323.02,0.821,4.05,3.81,12427,0,1430,5,0,15.19,Y,N,2.298,1
"  7889 (1994 LX)",1.262,0.3462,36.91,111.26,349.18,0.825,1.70,1.42,16475,0,5075,2,2,15.33,Y,N,1.680,1
"  7958 Leakey (1994 LE3)",1.877,0.0771,21.97,195.70,154.18,1.733,2.02,2.57,13783,0,4642,,,14.49,N,N,2.941,1
"  8026 Johnmckay (1991 JA1)",1.925,0.0748,19.94,217.67,145.93,1.781,2.07,2.67,12357,0,2748,,,14.99,N,N,1.690,1
"  8077 Hoyle (1986 AW2)",2.634,0.2127,17.20,135.50,36.25,2.073,3.19,4.27,25347,0,4270,,,12.97,N,N,,1
