"neo","pha","sats","H","diameter","e","a","q","i","om","w","ad","per_y","data_arc","n_obs_used","condition_code"
N,N,1,15.76,,0.1636,2.177,1.820,4.40,181.98,181.13,2.53,3.21,9144,1943,0
N,N,1,15.16,,0.1803,2.401,1.968,5.59,334.87,25.81,2.83,3.72,13059,1875,0
N,N,2,4.94,,0.2321,39.81,30.565,8.41,97.13,295.25,49.05,251,18094,902,1
N,N,1,4.87,,0.2423,53.05,40.192,0.24,260.56,85.80,65.90,386,10304,363,2
N,N,1,2.42,,0.0395,43.31,41.601,7.99,189.10,159.90,45.02,285,25300,1042,0
N,N,1,15.34,,0.1115,1.812,1.610,22.20,331.17,36.29,2.01,2.44,17495,2893,0
N,N,1,15.19,,0.0651,1.896,1.773,28.99,79.05,21.45,2.02,2.61,25921,2453,0
Y,N,1,16.73,,0.2146,1.644,1.292,40.62,85.42,58.22,2.00,2.11,8321,1524,0
N,N,1,15.82,,0.1158,1.872,1.655,22.44,268.67,126.79,2.09,2.56,10318,1848,0
N,N,1,15.08,,0.3311,2.383,1.594,13.09,168.44,129.38,3.17,3.68,9604,1950,0
N,N,1,3.84,,0.1440,42.99,36.798,19.38,204.54,274.78,49.18,282,11769,1430,0
N,N,1,13.69,11.117,0.1339,3.957,3.427,3.35,285.44,149.80,4.49,7.87,8858,1359,0
N,N,1,6.87,,0.1200,44.97,39.567,2.90,132.62,333.55,50.36,302,8476,112,3
N,N,1,7.37,,0.3992,59.02,35.461,19.72,312.36,251.58,82.58,453,7318,84,2
N,N,1,6.88,,0.3995,54.88,32.957,5.88,4.03,142.41,76.80,407,7362,166,2
N,N,1,6.47,,0.8212,99.15,17.724,22.32,172.14,319.20,180.58,987,12155,278,1
Y,Y,1,18.11,0.78,0.3833,1.643,1.013,3.41,72.99,319.58,2.27,2.11,9923,5743,0
Y,N,1,18.15,,0.7200,0.991,0.278,22.69,351.85,151.16,1.70,0.987,9064,1321,0
Y,Y,1,16.64,1.317,0.6884,0.6424,0.200,38.88,244.90,192.65,1.08,0.515,9200,3861,0
N,N,1,5.86,,0.0881,44.07,40.192,0.56,84.83,202.30,47.95,293,8799,331,2
Y,N,1,15.57,2.301,0.4578,2.334,1.265,5.72,308.84,50.36,3.40,3.57,12248,3270,0
Y,Y,1,17.68,,0.6237,1.655,0.623,6.07,34.06,92.90,2.69,2.13,31285,2628,0
N,N,1,14.64,3.182,0.0225,1.844,1.803,21.99,299.28,309.31,1.89,2.5,10351,3238,0
N,N,1,14.55,2.697,0.2769,2.324,1.681,22.60,32.40,108.17,2.97,3.54,25011,2206,0
N,N,1,13.82,,0.0956,1.93,1.745,18.13,292.29,129.68,2.11,2.68,15919,3140,0
N,N,1,5.28,,0.0076,43.75,43.412,2.25,304.35,220.08,44.08,289,9847,546,2
N,N,1,14.95,,0.0799,1.962,1.805,24.34,93.29,331.62,2.12,2.75,11020,2603,0
N,N,1,16.80,,0.0276,2.218,2.157,1.80,114.30,186.92,2.28,3.3,11625,781,0
N,N,1,6.69,,0.0699,42.01,39.073,3.76,45.49,3.12,44.95,272,8441,125,3
N,N,1,4.66,,0.2906,57.76,40.975,19.82,126.96,315.34,74.54,439,8425,428,2
N,N,1,7.04,,0.0570,38.36,36.173,5.38,150.84,119.21,40.55,238,7348,149,2
Y,N,1,17.30,0.775,0.3315,1.593,1.065,13.03,66.74,50.56,2.12,2.01,9430,6484,0
Y,Y,1,18.72,,0.4844,1.853,0.955,9.14,19.88,197.76,2.75,2.52,9063,640,0
N,N,1,5.98,,0.0205,44.32,43.416,2.58,304.71,237.10,45.23,295,7356,195,2
Y,N,1,17.67,0.760,0.2701,1.062,0.775,21.90,202.83,329.36,1.35,1.09,25198,1221,0
N,N,1,2.17,,0.2277,39.15,30.234,20.56,268.48,73.66,48.06,245,26382,1741,1
N,N,1,14.88,,0.2680,1.853,1.356,24.19,336.88,202.39,2.35,2.52,8755,3260,0
N,N,1,13.48,,0.3985,2.292,1.378,24.96,287.94,169.51,3.20,3.47,11450,2616,0
N,N,1,15.92,,0.2999,2.364,1.655,4.39,269.27,88.77,3.07,3.64,12173,1379,0
N,N,1,15.75,1.728,0.2748,2.256,1.636,6.84,242.47,92.62,2.88,3.39,12942,1798,0
N,N,1,13.93,4.280,0.2295,2.265,1.745,21.79,304.62,119.05,2.78,3.41,9219,2243,0
N,N,1,6.33,,0.1917,43.54,35.190,7.22,42.94,304.52,51.88,287,2176,24,4
N,N,1,4.67,,0.2617,48.02,35.451,9.18,109.72,43.49,60.58,333,6523,205,2
N,N,1,4.22,,0.1006,42.33,38.074,23.93,280.15,312.35,46.59,275,15128,630,1
N,N,1,6.51,,0.0473,44.56,42.452,1.97,185.47,286.93,46.67,297,7675,80,3
N,N,5,-0.45,,0.2518,39.59,29.619,17.15,110.29,113.71,49.56,249,31524,7212,
N,N,1,6.32,,0.0184,43.14,42.350,1.11,96.80,169.35,43.94,283,7680,195,2
N,N,2,0.20,,0.1999,42.89,34.316,28.21,121.97,240.70,51.47,281,25152,4948,1
N,N,1,-1.23,,0.4323,68.15,38.689,43.74,36.08,150.87,97.62,563,25352,3120,3
N,N,1,-0.21,,0.1658,45.29,37.779,29.03,79.31,296.16,52.79,305,25204,4753,1
Y,Y,2,17.97,,0.4168,1.638,0.955,4.68,268.52,24.89,2.32,2.1,12520,718,0
Y,N,1,17.85,,0.5956,2.308,0.933,24.49,18.21,48.05,3.68,3.51,7882,1021,0
Y,N,1,14.67,,0.4625,0.8192,0.440,25.66,155.86,253.41,1.20,0.741,8807,6856,0
Y,Y,1,15.98,,0.4146,1.776,1.040,60.69,43.46,2.55,2.51,2.37,13856,796,0
N,N,1,6.91,,0.2005,39.75,31.781,6.48,162.44,210.12,47.72,251,8146,398,2
Y,Y,1,17.39,,0.1870,1.085,0.882,62.10,0.99,104.96,1.29,1.13,7198,1244,0
N,N,1,5.77,,0.0603,44.49,41.806,5.19,1.68,305.09,47.17,297,7709,83,4
Y,Y,2,17.11,2,0.4800,1.987,1.033,6.69,325.74,173.06,2.94,2.8,12045,3637,0
Y,Y,1,18.36,,0.4515,1.703,0.934,4.64,144.37,197.97,2.47,2.22,14910,810,0
N,N,1,6.96,,0.1091,45.46,40.496,1.98,322.62,317.22,50.42,306,7359,58,4
N,N,1,6.63,,0.0578,43.31,40.804,4.91,103.58,31.80,45.81,285,6649,53,3
Y,Y,1,19.64,0.4,0.4627,1.678,0.902,1.09,346.52,21.58,2.45,2.17,12258,426,0
Y,N,1,17.53,0.906,0.3736,0.8727,0.547,51.18,124.41,7.65,1.20,0.815,8412,874,0
Y,N,1,16.39,,0.3221,0.741,0.502,25.62,103.88,252.93,0.98,0.638,7693,901,0
Y,Y,1,16.22,1.717,0.2919,1.11,0.786,44.06,38.32,91.04,1.43,1.17,15092,1863,0
N,N,1,3.47,,0.1455,45.69,39.043,21.52,184.28,183.61,52.34,309,15439,744,1
Y,Y,1,18.32,1.196,0.3501,1.055,0.686,1.97,299.52,24.07,1.42,1.08,13954,2658,0
N,N,1,6.46,,0.2388,50.27,38.264,1.05,117.26,165.31,62.28,356,2254,68,4
Y,Y,1,18.32,0.863,0.3765,1.365,0.851,8.67,358.66,289.79,1.88,1.59,8781,1493,0
Y,N,1,17.27,1.045,0.4694,2.116,1.123,4.21,193.35,91.24,3.11,3.08,7720,2806,0
Y,N,1,18.20,,0.4864,2.053,1.054,4.09,325.74,105.45,3.05,2.94,6609,1586,0
N,N,1,3.75,,0.1776,39.41,32.414,13.55,251.90,16.05,46.41,247,10167,999,1
N,N,1,15.16,,0.3416,2.306,1.518,22.73,23.94,74.80,3.09,3.5,7816,1391,0
N,N,1,1.85,,0.4985,67.19,33.696,30.68,336.85,207.09,100.69,551,13929,522,3
Y,Y,1,20.20,,0.6160,1.095,0.421,2.56,4.32,218.55,1.77,1.15,8461,303,0
N,N,1,3.47,,0.4928,74.19,37.632,23.37,131.13,345.80,110.75,639,15137,695,1
Y,N,1,19.64,,0.3274,1.922,1.292,3.46,118.94,259.98,2.55,2.66,7147,717,0
N,N,1,5.71,,0.0800,44.09,40.565,1.55,108.75,129.82,47.62,293,8062,325,2
Y,N,1,16.67,3.5,0.5611,2.233,0.980,47.29,161.89,228.04,3.49,3.34,7427,1754,0
Y,Y,1,17.28,,0.5726,2.421,1.035,12.88,250.07,345.68,3.81,3.77,9251,1913,0
N,N,1,16.21,,0.2004,3.048,2.438,3.24,83.12,280.23,3.66,5.32,8204,359,0
N,N,1,6.34,,0.1055,44.51,39.813,1.34,339.11,314.85,49.20,297,5852,260,2
Y,Y,1,17.80,0.654,0.4991,1.049,0.526,26.61,165.57,72.13,1.57,1.08,16496,367,0
Y,Y,1,18.29,,0.3995,1.634,0.981,19.45,74.92,156.26,2.29,2.09,7214,330,0
Y,N,1,17.64,,0.5706,2.711,1.164,6.62,161.61,145.86,4.26,4.46,6834,5852,0
N,N,1,6.80,,0.2717,39.61,28.848,11.26,196.61,205.52,50.37,249,5929,310,2
Y,Y,1,17.35,,0.5355,2.225,1.034,10.85,132.20,206.14,3.42,3.32,7359,1234,0
Y,Y,1,20.82,,0.2567,1.072,0.797,0.57,161.80,119.38,1.35,1.11,8035,698,0
Y,Y,1,19.29,,0.4025,1.502,0.898,23.78,126.66,311.51,2.11,1.84,6359,1068,0
Y,Y,1,19.64,0.578,0.5299,0.8194,0.385,21.06,197.53,322.49,1.25,0.742,8422,593,0
Y,Y,1,19.21,,0.0901,1.076,0.979,15.32,353.04,64.93,1.17,1.12,7383,1146,0
Y,Y,1,21.04,0.152,0.7236,1.587,0.439,3.13,83.59,228.67,2.74,2,7293,415,0
N,N,1,6.89,,0.0754,44.46,41.109,3.56,36.45,182.02,47.82,296,5902,90,2
Y,Y,1,16.72,,0.6054,2.386,0.942,23.73,9.81,145.07,3.83,3.69,6980,1548,0
Y,Y,1,17.64,0.811,0.0755,1.105,1.022,24.10,290.34,37.16,1.19,1.16,13568,2886,0
N,N,1,6.57,,0.1158,44.08,38.978,2.66,68.61,16.27,49.19,293,6593,60,4
Y,N,1,18.90,,0.4272,2.21,1.266,8.95,171.77,150.99,3.15,3.29,10424,217,0
Y,Y,1,18.80,,0.5179,2.043,0.985,12.71,199.16,348.17,3.10,2.92,7916,928,0
Y,N,1,22.17,0.472,0.4929,1.164,0.590,3.13,9.27,281.56,1.74,1.26,5499,513,0
Y,Y,1,18.17,,0.5942,2.22,0.901,8.14,107.53,139.37,3.54,3.31,24049,435,0
Y,N,1,17.58,,0.6545,3.22,1.113,8.15,126.22,63.72,5.33,5.78,6298,1796,0
Y,Y,1,18.90,,0.4959,1.858,0.936,30.56,54.29,216.72,2.78,2.53,3721,308,0
N,N,1,7.78,,0.2163,42.12,33.007,2.61,304.91,180.42,51.23,273,7387,145,2
N,N,1,6.33,,0.2478,47.68,35.862,3.39,169.36,53.85,59.49,329,7329,110,2
N,N,1,5.86,,0.0720,44.73,41.506,2.41,104.70,325.44,47.95,299,7330,247,2
N,N,1,6.44,,0.0255,43.12,42.023,1.49,76.63,203.57,44.23,283,4430,52,3
N,N,1,6.17,,0.0847,43.77,40.060,2.87,118.03,76.45,47.48,290,6888,229,2
N,N,1,5.28,,0.1781,38.8,31.891,15.76,238.75,281.03,45.71,242,11354,410,2
Y,Y,1,19.62,,0.5160,1.839,0.890,29.54,73.65,120.22,2.79,2.49,7499,486,0
Y,Y,1,19.24,,0.7339,2.344,0.624,4.33,96.02,249.55,4.06,3.59,10641,658,0
Y,Y,1,19.40,,0.1291,1.061,0.924,15.09,215.39,61.06,1.20,1.09,5021,623,0
Y,Y,1,20.71,,0.5716,1.929,0.826,8.91,223.92,240.86,3.03,2.68,6049,433,0
N,N,1,6.49,,0.0856,44.49,40.685,3.46,52.09,177.65,48.30,297,4398,97,4
N,N,1,6.76,,0.1010,46.21,41.537,2.02,82.00,239.73,50.87,314,2607,71,3
N,N,1,6.06,,0.0775,44.06,40.645,4.17,29.01,279.60,47.47,292,6178,391,3
N,N,1,6.66,,0.1163,45.85,40.519,2.70,38.28,29.64,51.18,310,7317,55,4
N,N,1,5.85,,0.0324,42.64,41.256,1.16,334.48,354.05,44.02,278,7354,82,3
N,N,1,6.87,,0.1269,43.71,38.162,3.66,343.30,298.39,49.26,289,7334,70,3
N,N,1,5.70,,0.3385,52.39,34.656,38.86,103.63,47.16,70.12,379,7793,140,2
Y,N,1,19.63,,0.4503,1.837,1.010,41.10,324.36,215.10,2.66,2.49,5470,295,0
N,N,1,6.00,,0.0540,44.1,41.722,1.33,201.34,252.21,46.48,293,4805,172,2
Y,Y,1,19.11,0.279,0.4840,1.876,0.968,12.65,3.73,188.63,2.78,2.57,3157,745,0
N,N,1,7.36,,0.1865,45.58,37.079,13.68,327.24,70.81,54.08,308,7715,36,3
N,N,1,6.69,,0.0714,44.44,41.263,2.12,8.22,32.44,47.61,296,7028,123,2
N,N,1,5.75,,0.0308,42.94,41.614,1.24,179.68,80.69,44.26,281,8087,136,2
N,N,1,5.66,,0.0870,43.92,40.102,4.98,80.39,187.74,47.74,291,7028,75,3
N,N,1,6.19,,0.0636,45.36,42.476,3.42,93.86,152.28,48.25,306,7972,120,3
N,N,1,6.72,,0.1944,44.11,35.536,13.33,101.63,320.48,52.69,293,6687,318,2
N,N,1,3.12,,0.3976,58.59,35.291,33.28,186.93,139.80,81.89,448,4395,129,4
Y,N,1,18.01,,0.4594,2.137,1.155,33.96,41.32,168.84,3.12,3.12,3862,1470,0
N,N,1,6.31,,0.2434,40.77,30.849,18.89,66.76,126.42,50.70,260,7770,255,2
N,N,1,7.82,,0.2765,39.18,28.346,9.30,339.06,163.49,50.02,245,6240,51,2
N,N,1,7.05,,0.0304,38.29,37.127,4.00,127.45,282.20,39.46,237,8441,66,4
Y,Y,1,19.82,,0.6443,1.684,0.599,10.89,162.83,88.67,2.77,2.18,8799,1760,0
N,N,1,6.19,,0.0822,43.11,39.565,7.15,255.36,82.53,46.65,283,8469,47,3
N,N,1,7.11,,0.0358,43.71,42.147,0.53,56.78,50.05,45.28,289,7714,39,3
N,N,1,6.63,,0.2210,48.24,37.581,3.66,223.36,100.89,58.90,335,7001,55,4
N,N,1,6.14,,0.0132,45.06,44.466,1.74,110.51,248.95,45.65,302,6995,69,3
N,N,1,6.67,,0.1298,46.69,40.627,30.52,334.69,5.66,52.75,319,8448,84,2
N,N,1,6.58,,0.0577,44.38,41.816,3.95,76.57,344.48,46.94,296,7323,104,3
N,N,1,6.35,,0.0294,43.39,42.110,2.10,36.33,235.46,44.66,286,6979,30,4
N,N,1,7.45,,0.0091,42.85,42.458,3.06,35.88,9.42,43.24,280,6231,39,4
N,N,1,6.36,,0.0428,44.19,42.303,3.77,84.00,314.50,46.08,294,7031,60,3
N,N,1,6.93,,0.1605,46.68,39.185,4.86,126.46,325.03,54.17,319,6643,39,3
Y,Y,1,20.63,,0.3335,0.7435,0.496,22.22,282.67,340.11,0.99,0.641,6559,99,0
Y,Y,1,21.54,,0.3256,1.491,1.005,2.31,172.03,65.27,1.98,1.82,8278,180,0
N,N,1,7.40,,0.0405,39.17,37.588,1.52,183.52,166.16,40.76,245,8032,26,4
N,N,1,6.70,,0.0833,44.89,41.145,6.78,237.02,55.22,48.62,301,7647,38,4
N,N,1,7.79,,0.0534,42.86,40.572,2.57,138.02,211.41,45.15,281,8007,47,4
N,N,1,7.09,,0.0718,43.85,40.703,3.56,75.46,64.98,47.00,290,7676,43,4
N,N,1,7.70,,0.0186,44.23,43.408,4.81,124.68,81.88,45.06,294,8076,54,4
Y,Y,1,20.10,0.84,0.4448,1.832,1.017,16.22,319.61,180.53,2.65,2.48,1829,243,0
Y,Y,1,21.00,,0.4662,1.953,1.043,24.54,76.96,174.14,2.86,2.73,3996,110,0
N,N,1,6.80,,0.1212,46.05,40.470,19.49,257.47,113.79,51.63,313,6582,24,5
N,N,1,6.60,,0.0678,45.49,42.409,0.85,84.55,248.46,48.58,307,6557,19,4
N,N,1,6.47,,0.0470,43.04,41.012,3.77,104.19,34.90,45.06,282,7707,47,4
Y,Y,1,21.95,,0.5716,1.931,0.827,5.49,198.17,234.89,3.04,2.68,6028,267,0
N,N,1,7.51,,0.0912,44.59,40.526,0.95,37.09,12.41,48.66,298,6277,55,4
N,N,1,6.92,,0.0215,43.52,42.585,3.72,86.50,130.35,44.46,287,6643,28,4
N,N,1,5.70,,0.0361,45.78,44.122,1.30,159.34,232.92,47.43,310,3336,24,4
N,N,1,6.90,,0.0753,43.68,40.389,1.95,68.98,184.50,46.96,289,4017,22,4
N,N,1,7.40,,0.2204,39.43,30.739,17.19,44.07,286.96,48.12,248,3978,19,4
N,N,1,6.40,,0.0465,44.2,42.145,1.18,292.40,255.55,46.25,294,5874,25,4
N,N,1,5.96,,0.0808,45.02,41.386,3.58,109.76,334.24,48.66,302,6990,39,4
N,N,1,6.50,,0.1148,45.49,40.267,20.17,147.37,270.83,50.71,307,6238,47,4
N,N,1,6.59,,0.1558,46.39,39.160,4.32,329.23,316.69,53.62,316,6961,31,4
N,N,1,6.35,,0.0549,43.85,41.442,1.86,81.46,70.90,46.26,290,6172,24,4
N,N,1,6.51,,0.0939,44.49,40.313,3.75,120.08,74.36,48.67,297,6961,20,4
N,N,1,6.54,,0.0746,43.94,40.667,2.10,58.81,121.19,47.22,291,6884,26,4
N,N,1,7.40,,0.0439,42.55,40.684,3.08,103.81,38.93,44.42,278,5849,23,4
N,N,1,7.30,,0.0241,42.83,41.799,0.70,354.41,347.62,43.86,280,5425,23,4
Y,Y,1,21.67,,0.4638,1.439,0.772,6.02,59.58,288.67,2.11,1.73,6426,142,0
N,N,1,7.28,,0.1838,41.48,33.857,12.08,221.80,180.59,49.11,267,5873,29,4
N,N,1,6.73,,0.0388,43.69,41.997,1.16,15.12,97.79,45.39,289,6943,44,3
N,N,1,6.58,,0.0366,45.6,43.931,1.79,40.84,58.74,47.27,308,6610,30,4
N,N,1,6.63,,0.0573,44.81,42.247,0.32,144.99,93.88,47.38,300,5518,44,4
N,N,1,6.83,,0.3831,63.32,39.061,27.63,95.26,289.98,87.58,504,8803,58,4
N,N,1,6.67,,0.0833,43.81,40.163,1.39,26.37,218.19,47.46,290,6610,35,4
Y,Y,1,19.70,,0.5748,2.207,0.938,5.45,137.01,134.13,3.47,3.28,3869,786,0
Y,N,1,19.32,,0.4645,2.282,1.222,3.42,196.89,194.14,3.34,3.45,14004,840,0
Y,Y,1,19.30,0.653,0.5656,2.264,0.984,12.21,182.68,325.84,3.54,3.41,3633,563,0
N,N,1,5.85,,0.1041,44.03,39.444,1.29,223.60,157.78,48.61,292,4944,292,2
Y,Y,1,20.50,0.297,0.6399,2.211,0.796,20.91,244.78,245.24,3.63,3.29,189,346,3
N,N,1,7.00,,0.1205,43.8,38.524,12.18,26.60,352.89,49.08,290,830,16,5
N,N,1,6.77,,0.0882,44.78,40.834,0.96,330.34,348.29,48.73,300,2567,97,3
N,N,1,7.65,,0.0765,44.18,40.802,2.16,201.66,118.40,47.56,294,2495,38,3
N,N,1,7.30,,0.0925,45.8,41.561,3.47,232.66,49.35,50.04,310,1917,37,4
Y,N,1,22.60,,0.7590,1.985,0.478,1.65,25.44,104.40,3.49,2.8,12,125,3
N,N,1,8.10,,0.0404,42.98,41.246,1.95,96.77,211.79,44.72,282,1125,45,4
N,N,1,6.10,,0.0503,44.24,42.011,2.43,183.50,102.55,46.46,294,1804,41,4
Y,Y,1,21.08,0.215,0.3552,1.321,0.852,5.59,89.99,318.55,1.79,1.52,3504,377,0
Y,Y,1,20.08,,0.6262,2.428,0.908,2.05,292.14,123.11,3.95,3.78,260,509,3
Y,Y,1,19.30,,0.7091,2.821,0.820,6.22,103.94,110.75,4.82,4.74,1825,355,0
Y,Y,1,21.88,,0.0122,1.017,1.004,29.44,194.55,126.88,1.03,1.03,1263,308,0
Y,Y,1,20.51,,0.7171,2.132,0.603,6.87,51.56,76.62,3.66,3.11,2205,411,0
Y,N,1,21.21,,0.3753,1.88,1.175,1.83,284.04,228.85,2.59,2.58,117,235,4
Y,Y,1,20.63,,0.5272,1.6,0.757,40.05,132.85,70.50,2.44,2.02,3664,173,0
N,N,1,7.34,,0.0372,45.66,43.961,2.39,130.46,21.70,47.35,309,1130,16,5
N,N,1,6.72,,0.0559,44.05,41.591,2.84,133.09,289.20,46.52,292,2919,18,4
N,N,1,6.01,,0.0508,43.48,41.271,2.55,276.69,122.98,45.69,287,6709,41,4
