"neo","pha","sats","H","diameter","e","a","q","i","om","w","ad","per_y","data_arc","n_obs_used","condition_code"
N,N,1,12.58,7.883,0.0799,2.269,2.087,8.40,359.90,100.95,2.45,3.42,31030,4196,0
N,N,1,13.53,3.259,0.0542,1.878,1.776,22.86,125.27,358.29,1.98,2.57,16934,3484,0
N,N,1,12.92,7.481,0.1000,2.24,2.016,6.99,47.93,160.69,2.46,3.35,35545,7456,0
N,N,1,13.66,4.408,0.1646,2.279,1.904,1.09,123.41,313.32,2.65,3.44,21635,4072,0
N,N,1,12.53,7.116,0.0801,2.24,2.060,3.43,172.73,309.83,2.42,3.35,26206,7159,0
N,N,2,13.02,,0.1380,1.904,1.641,22.91,182.55,284.12,2.17,2.63,32570,4038,0
N,N,1,12.85,,0.1078,2.384,2.127,5.55,158.21,64.83,2.64,3.68,26730,4942,0
N,N,1,13.60,,0.2348,2.255,1.726,4.05,349.07,22.82,2.78,3.39,37947,11495,0
N,N,1,13.49,5.438,0.1135,2.244,1.989,3.59,319.75,277.56,2.50,3.36,26979,6369,0
N,N,1,13.76,,0.2326,2.228,1.710,5.71,275.08,91.26,2.75,3.33,26659,3515,0
N,N,1,12.85,6.641,0.1690,2.232,1.855,5.71,119.79,237.65,2.61,3.34,25060,4780,0
N,N,1,13.46,5.065,0.1739,2.245,1.855,3.52,329.35,81.73,2.64,3.36,31179,4891,0
N,N,1,12.83,6.879,0.1161,2.169,1.917,2.45,246.87,12.10,2.42,3.19,29904,4975,0
N,N,1,12.81,6.767,0.2152,2.333,1.831,22.69,334.45,70.81,2.83,3.56,16426,4235,0
N,N,1,12.87,6.804,0.1393,2.258,1.943,5.77,28.32,335.25,2.57,3.39,25296,5286,0
N,N,1,13.10,6.426,0.1578,2.251,1.896,5.90,100.96,168.22,2.61,3.38,32368,9396,0
N,N,1,13.35,4.910,0.0825,2.245,2.060,1.41,48.48,151.86,2.43,3.36,26901,4227,0
N,N,1,13.46,5.878,0.1387,2.448,2.109,2.54,46.38,196.89,2.79,3.83,16981,4920,0
N,N,1,12.78,,0.2100,2.324,1.836,4.93,10.57,314.06,2.81,3.54,38819,4233,0
N,N,1,13.73,,0.1367,2.243,1.936,5.04,204.07,232.23,2.55,3.36,19802,3962,0
N,N,1,13.61,4.938,0.1893,2.237,1.814,7.71,195.49,166.54,2.66,3.35,43232,3840,0
Y,Y,2,14.10,4.9,0.4231,1.769,1.020,22.14,336.06,27.88,2.52,2.35,16437,8448,0
N,N,1,12.86,4.662,0.0670,1.892,1.765,24.90,96.35,32.63,2.02,2.6,25598,13497,0
N,N,1,13.39,6.223,0.0576,2.283,2.152,2.75,312.22,105.09,2.41,3.45,26655,4004,0
N,N,1,13.74,5.038,0.0536,1.817,1.720,21.14,29.76,218.73,1.91,2.45,15341,3505,0
N,N,1,13.83,6.637,0.0917,2.316,2.104,8.08,335.87,92.54,2.53,3.52,36801,7740,0
N,N,1,13.44,5.062,0.1158,2.253,1.992,3.38,342.75,260.19,2.51,3.38,17129,4548,0
N,N,1,12.91,7.745,0.1876,2.393,1.944,4.51,336.55,74.40,2.84,3.7,32472,6782,0
N,N,1,12.38,9.071,0.1344,2.373,2.054,9.68,55.58,159.54,2.69,3.66,34253,4074,0
N,N,1,9.84,63.885,0.0911,5.208,4.734,8.05,43.54,27.68,5.68,11.9,9502,3950,0
N,N,1,12.89,6.655,0.1316,2.313,2.008,5.79,237.23,102.36,2.62,3.52,35809,7386,0
N,N,1,13.39,6.243,0.0702,2.214,2.059,4.82,90.88,35.79,2.37,3.3,26913,7165,0
Y,Y,1,16.50,1.5,0.5410,2.2,1.009,13.53,82.06,204.30,3.39,3.26,14475,1112,0
N,N,1,13.06,6.412,0.1836,2.346,1.915,7.09,13.27,45.14,2.78,3.59,19877,4999,0
N,N,2,13.63,4.663,0.1100,2.236,1.990,5.38,295.67,174.40,2.48,3.34,25175,9464,0
N,N,1,12.86,5.924,0.0931,2.415,2.190,5.25,271.33,333.69,2.64,3.75,19589,5493,0
N,N,1,13.43,5.161,0.2195,2.293,1.790,23.68,63.19,51.28,2.80,3.47,15556,3997,0
N,N,1,13.52,6.252,0.1597,2.274,1.911,5.22,46.00,359.91,2.64,3.43,18142,8304,0
N,N,1,12.97,7.972,0.0788,2.398,2.209,6.55,214.44,32.42,2.59,3.71,19137,7263,0
N,N,1,12.73,8.628,0.0982,2.334,2.105,8.11,171.52,185.95,2.56,3.57,25509,6622,0
N,N,1,12.91,5.021,0.1336,1.893,1.640,23.36,250.01,267.57,2.15,2.6,14317,5009,0
N,N,1,12.94,8.021,0.2548,2.561,1.909,14.21,343.13,91.30,3.21,4.1,15680,7511,0
N,N,1,13.35,5.930,0.0307,2.376,2.303,2.40,26.13,61.53,2.45,3.66,31494,5555,0
N,N,1,13.07,6.720,0.1735,2.339,1.933,5.41,269.99,152.31,2.74,3.58,17332,8583,0
N,N,1,14.08,4.141,0.1875,2.259,1.835,3.29,210.79,198.22,2.68,3.4,25283,3857,0
N,N,1,13.04,6.790,0.2198,2.258,1.762,5.30,251.84,50.96,2.75,3.39,34190,4706,0
N,N,1,12.91,7.433,0.1305,2.526,2.196,5.44,214.75,16.50,2.86,4.01,18169,6426,0
N,N,1,13.30,,0.2502,2.632,1.974,4.03,253.77,108.87,3.29,4.27,9593,4362,0
N,N,1,12.95,7.675,0.2494,2.368,1.777,9.27,184.37,183.89,2.96,3.64,25656,3993,0
N,N,1,11.70,12.296,0.1773,2.628,2.162,14.03,44.56,325.55,3.09,4.26,23499,4212,0
N,N,1,13.38,,0.1660,2.249,1.876,6.14,13.03,27.01,2.62,3.37,32267,3792,0
N,N,1,13.23,5.590,0.1019,2.238,2.010,4.72,34.35,172.81,2.47,3.35,26063,4221,0
N,N,1,14.56,3.775,0.1994,2.197,1.759,2.56,218.30,153.34,2.63,3.26,26422,5405,0
N,N,1,13.11,6.471,0.0644,2.425,2.269,7.16,88.45,317.49,2.58,3.78,16443,4118,0
N,N,1,14.14,4.433,0.0927,2.167,1.966,2.26,88.43,10.90,2.37,3.19,18243,5407,0
N,N,1,13.41,5.042,0.3346,2.317,1.541,21.94,330.74,110.53,3.09,3.53,16439,9534,0
N,N,1,13.89,2.093,0.0774,1.921,1.772,21.35,283.30,225.06,2.07,2.66,14184,3207,0
N,N,1,13.22,17.359,0.1770,2.769,2.279,8.02,349.71,53.74,3.26,4.61,26299,8055,0
N,N,1,13.69,,0.1204,2.342,2.061,2.47,294.30,216.61,2.62,3.59,18846,4514,0
N,N,1,14.13,,0.1526,2.344,1.987,7.96,110.35,88.28,2.70,3.59,18862,9161,0
N,N,1,12.54,9.356,0.1370,2.55,2.201,8.71,161.34,316.13,2.90,4.07,21425,12482,0
N,N,1,13.20,6.294,0.0202,2.379,2.331,4.78,65.93,27.06,2.43,3.67,34300,9278,0
N,N,1,13.44,7.389,0.0196,2.264,2.219,2.25,250.41,222.80,2.31,3.41,17698,6282,0
N,N,2,13.16,6.827,0.2341,2.34,1.792,24.51,230.18,42.13,2.89,3.58,13782,6352,0
N,N,1,13.99,4.818,0.0704,1.859,1.728,19.44,232.90,239.58,1.99,2.53,13926,5370,0
N,N,1,14.04,1.777,0.0601,1.945,1.828,23.71,76.50,108.67,2.06,2.71,14934,3516,0
N,N,1,13.47,3.282,0.1952,2.357,1.897,7.25,115.70,118.42,2.82,3.62,19598,4456,0
N,N,1,13.91,3.583,0.1300,2.262,1.968,4.32,277.15,110.61,2.56,3.4,17200,3455,0
N,N,1,15.17,1.535,0.0684,1.96,1.826,22.11,187.49,94.46,2.09,2.74,14802,5474,0
N,N,1,13.74,5.225,0.1909,2.274,1.840,4.64,227.11,94.30,2.71,3.43,26826,4077,0
N,N,1,13.50,5.192,0.1667,2.257,1.881,7.53,100.98,339.89,2.63,3.39,33709,3715,0
N,N,1,13.35,5.676,0.1104,2.273,2.022,7.03,165.93,280.44,2.52,3.43,23139,4140,0
N,N,1,14.03,3.419,0.1300,2.174,1.892,5.77,62.66,341.69,2.46,3.21,19105,3752,0
N,N,1,13.66,4.816,0.1275,2.239,1.953,3.31,35.44,229.83,2.52,3.35,19968,4698,0
Y,N,1,14.06,4.843,0.7713,1.835,0.420,8.98,309.19,228.14,3.25,2.49,25631,4639,0
N,N,1,16.13,1.878,0.0648,1.523,1.425,20.28,245.02,95.47,1.62,1.88,15765,2192,0
N,N,1,13.78,4.911,0.1543,2.257,1.909,6.24,200.44,81.70,2.60,3.39,26361,4771,0
Y,N,1,16.75,0.935,0.2964,0.9475,0.667,48.97,58.53,37.42,1.23,0.922,10211,642,0
N,N,1,13.69,4.191,0.1366,2.046,1.767,16.71,237.00,133.36,2.33,2.93,13457,3669,0
N,N,1,14.42,2.823,0.2775,1.839,1.329,11.39,117.68,108.88,2.35,2.49,26362,12490,0
N,N,1,13.26,7.052,0.1353,2.454,2.122,6.26,355.84,25.86,2.79,3.84,25149,4790,0
N,N,1,14.26,2.033,0.1167,1.955,1.727,23.79,88.12,67.73,2.18,2.73,13965,2778,0
N,N,1,13.35,5.046,0.0683,2.383,2.221,6.14,246.87,257.54,2.55,3.68,19206,6937,0
N,N,1,14.32,3.147,0.0751,1.917,1.773,22.55,49.08,290.41,2.06,2.65,12458,11849,0
N,N,1,13.47,,0.0628,2.339,2.192,5.96,326.04,249.85,2.49,3.58,19428,4918,0
N,N,1,13.76,4.483,0.0883,2.28,2.078,4.40,112.46,340.83,2.48,3.44,25147,3677,0
N,N,1,13.15,,0.0943,2.25,2.037,6.78,250.59,124.97,2.46,3.37,25504,5963,0
Y,N,1,15.51,4.3,0.4359,2.144,1.209,7.91,14.11,335.77,3.08,3.14,12371,2501,0
N,N,1,13.53,6.039,0.1660,2.357,1.966,1.70,39.81,311.68,2.75,3.62,24739,3972,0
N,N,1,13.10,,0.1287,2.554,2.225,12.23,275.18,7.67,2.88,4.08,25150,3580,0
N,N,1,13.83,5.653,0.0379,2.137,2.056,2.71,259.01,171.39,2.22,3.12,26482,5986,0
N,N,1,13.79,,0.1334,2.249,1.949,6.61,242.32,131.39,2.55,3.37,24971,3506,0
N,N,1,14.24,2.672,0.1168,1.928,1.703,24.01,125.30,263.66,2.15,2.68,16767,2864,0
N,N,1,13.96,4.728,0.0718,1.91,1.773,27.52,141.25,208.75,2.05,2.64,12526,4086,0
N,N,1,13.68,3.526,0.2145,2.332,1.832,5.90,189.25,164.10,2.83,3.56,23493,7015,0
N,N,1,12.96,6.347,0.2360,2.313,1.767,23.00,147.17,258.75,2.86,3.52,26979,3918,0
N,N,1,13.66,4.057,0.1350,2.33,2.016,3.40,303.81,69.36,2.64,3.56,26952,3744,0
N,N,1,13.79,4.795,0.0762,2.203,2.035,5.68,1.05,139.80,2.37,3.27,26926,7781,0
N,N,2,13.94,,0.1841,2.379,1.941,4.21,315.25,87.20,2.82,3.67,21193,3224,0
